table,has_index,has_fk,has_rls,files
telemetry_logs,yes,no,no,"20231221_create_logs.sql"
inventory_assets,no,no,yes,"20231221_inventory_schema.sql"
maintenance_logs,yes,yes,yes,"20231221_maintenance_schema.sql;20260119_add_erp_business_tables.sql"
work_orders,no,yes,no,"20231222_work_orders.sql;20260119_add_erp_business_tables.sql"
work_order_steps,no,no,no,"20231222_work_orders.sql"
expert_knowledge_base,no,no,no,"20231223_ekb_schema.sql"
experience_ledger,no,no,no,"20231223_ekb_schema.sql"
plants,no,yes,yes,"20240104_infrastructure_genesis.sql"
hydrology_context,no,no,yes,"20240104_infrastructure_genesis.sql"
pipe_system,no,no,yes,"20240104_infrastructure_genesis.sql"
turbine_bids,no,no,yes,"20240104_infrastructure_genesis.sql"
asset_operational_history,no,no,yes,"20240104_infrastructure_genesis.sql"
safety_interlock_ledger,no,no,yes,"20241221_safety_forensics_schema.sql"
forensic_recordings,no,no,yes,"20241221_safety_forensics_schema.sql"
expert_knowledge,no,no,yes,"20241221_safety_forensics_schema.sql"
engineer_notes,no,no,yes,"20241221_safety_forensics_schema.sql"
turbine_families,no,no,yes,"20241221_universal_turbine_schema.sql"
turbine_variants,no,no,yes,"20241221_universal_turbine_schema.sql"
dynamic_sensor_data,no,no,yes,"20241221_universal_turbine_schema.sql"
turbine_designs,yes,no,yes,"20260119_add_turbine_designs_and_hotspot_map.sql"
reports,yes,no,no,"20260119_create_reports_table.sql;20260120_create_reports_table.sql"
telemetry_samples,yes,no,no,"20260123_sovereign_memory.sql"
physics_results,yes,no,no,"20260123_sovereign_memory.sql"
project_state_snapshots,yes,no,no,"20260123_sovereign_memory.sql"
telemetry_history_cache,yes,no,no,"20260123_sovereign_memory.sql"
hpp_status,yes,no,no,"20260123_sovereign_memory.sql"
assets,yes,yes,no,"20241221_universal_turbine_schema.sql;20231221_maintenance_schema.sql;20231222_work_orders.sql;20231223_ekb_schema.sql;20240104_infrastructure_genesis.sql;20260119_add_erp_business_tables.sql;20260119_add_turbine_designs_and_hotspot_map.sql;20260119_add_utility_and_compliance.sql;20260119_thresholds_and_backfill.sql;20260123_sovereign_memory.sql"
hpp_assets,no,yes,no,"20231221_create_logs.sql;20260120_create_reports_table.sql"
